타임스탬프,1. 학년을 선택하세요 ,2. 성별,3. 최근 학기 평균 성적은 어떻게 되나요?,4. 학습 평균 학습시간이 몇시간인가요?,5. 학교에서 수업 외에 자율학습을 얼마나 자주 하나요?  ,6. 과제를 얼마나 자주 제출하나요?  ,7. 시험 준비는 어떻게 하나요?  ,8. 학교 출석률은 어느 정도인가요?  ,9. 학습 환경에 얼마나 만족하나요?  ,10. 학원이나 과외를 받고 있나요?  ,11. 학원이나 과외가 학업에 얼마나 도움된다고 생각하나요?  ,"12. 주말에 학습 외 활동(취미, 운동, 아르바이트 등)에 얼마나 시간을 쓰나요?  ",13. 평소 수면 시간이 어떻게 되나요? ,14. 학업 스트레스가 어느 정도인가요?  
2024. 11. 30 오후 10:10:11,11학년,남자,A (90점 이상),1시간 미만,거의 안함,항상 제출,거의 준비하지 않음,80% 미만,매우 만족,아니요,거의 도움 안 됨,5시간 이상,6~8시간,약간 있음
2024. 11. 30 오후 10:11:24,12학년,여자,B (80~89점),2~3시간,주 3~4회,거의 안 냄,시험 1주 전부터 준비,90~94%,불만족,아니요,거의 도움 안 됨,3~5시간,6~8시간,약간 있음
2024. 11. 30 오후 10:14:50,11학년,남자,A (90점 이상),1~2시간,주 3~4회,거의 안 냄,시험 1주 전부터 준비,80~89%,보통,아니요,보통,1~3시간,4시간 이하,약간 있음
2024. 11. 30 오후 10:18:03,9학년,여자,B (80~89점),2~3시간,주 1~2회,가끔 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,약간 도움됨,1~3시간,6~8시간,보통
2024. 11. 30 오후 10:18:26,8학년,남자,D (60~69점),1시간 미만,거의 안함,거의 안 냄,거의 준비하지 않음,95~100%,불만족,네,거의 도움 안 됨,3~5시간,8시간 이상,보통
2024. 11. 30 오후 10:18:54,12학년,여자,C (70~79점),1~2시간,주 1~2회,거의 안 냄,시험 1주 전부터 준비,95~100%,불만족,네,매우 도움됨,1시간 미만,6~8시간,매우 많음
2024. 11. 30 오후 10:19:48,7학년,남자,B (80~89점),3시간 이상,주 3~4회,거의 안 냄,시험 1주 전부터 준비,95~100%,만족,네,보통,3~5시간,4~6시간,많이 있음
2024. 11. 30 오후 10:22:18,8학년,남자,B (80~89점),1시간 미만,주 3~4회,가끔 제출,시험 전날 준비,95~100%,매우 만족,네,매우 도움됨,1시간 미만,4시간 이하,전혀 없음
2024. 11. 30 오후 10:22:59,11학년,여자,A (90점 이상),3시간 이상,매일,항상 제출,시험 2주 전부터 준비,95~100%,만족,네,매우 도움됨,1시간 미만,4~6시간,많이 있음
2024. 11. 30 오후 10:24:06,7학년,여자,B (80~89점),1~2시간,주 1~2회,항상 제출,시험 1주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,1시간 미만,4~6시간,매우 많음
2024. 11. 30 오후 10:25:39,8학년,남자,F (60점 미만),1~2시간,주 1~2회,가끔 제출,시험 2주 전부터 준비,95~100%,매우 만족,아니요,보통,3~5시간,6~8시간,약간 있음
2024. 11. 30 오후 10:27:28,9학년,남자,B (80~89점),2~3시간,거의 안함,가끔 제출,시험 전날 준비,80% 미만,매우 불만족,네,약간 도움됨,1시간 미만,6~8시간,약간 있음
2024. 11. 30 오후 10:29:46,10학년,남자,C (70~79점),3시간 이상,주 3~4회,거의 안 냄,시험 1주 전부터 준비,95~100%,보통,네,약간 도움됨,1~3시간,4~6시간,약간 있음
2024. 11. 30 오후 10:30:22,8학년,남자,C (70~79점),2~3시간,거의 안함,가끔 제출,시험 1주 전부터 준비,95~100%,보통,네,보통,3~5시간,4시간 이하,약간 있음
2024. 11. 30 오후 10:32:08,8학년,여자,C (70~79점),3시간 이상,매일,가끔 제출,시험 1주 전부터 준비,95~100%,매우 불만족,아니요,약간 도움됨,3~5시간,4~6시간,매우 많음
2024. 11. 30 오후 10:37:30,9학년,여자,C (70~79점),1~2시간,주 1~2회,가끔 제출,시험 전날 준비,90~94%,매우 불만족,아니요,약간 도움됨,3~5시간,6~8시간,전혀 없음
2024. 11. 30 오후 10:38:37,7학년,남자,A (90점 이상),1~2시간,주 3~4회,가끔 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,약간 도움됨,1시간 미만,8시간 이상,매우 많음
2024. 11. 30 오후 10:42:40,11학년,남자,B (80~89점),3시간 이상,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,1시간 미만,4시간 이하,매우 많음
2024. 11. 30 오후 10:43:23,7학년,여자,C (70~79점),1시간 미만,주 1~2회,항상 제출,거의 준비하지 않음,95~100%,매우 만족,아니요,거의 도움 안 됨,5시간 이상,8시간 이상,전혀 없음
2024. 11. 30 오후 10:43:55,10학년,남자,B (80~89점),1~2시간,매일,항상 제출,시험 1주 전부터 준비,95~100%,보통,네,약간 도움됨,1시간 미만,4~6시간,보통
2024. 11. 30 오후 10:44:53,8학년,여자,A (90점 이상),2~3시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,보통,1시간 미만,4시간 이하,많이 있음
2024. 11. 30 오후 10:46:39,11학년,여자,C (70~79점),3시간 이상,매일,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,1시간 미만,4시간 이하,약간 있음
2024. 11. 30 오후 10:49:21,10학년,남자,A (90점 이상),3시간 이상,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,1시간 미만,8시간 이상,전혀 없음
2024. 11. 30 오후 10:52:38,9학년,여자,C (70~79점),1시간 미만,매일,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,약간 도움됨,1시간 미만,4~6시간,약간 있음
2024. 11. 30 오후 10:57:20,9학년,여자,A (90점 이상),3시간 이상,매일,항상 제출,시험 2주 전부터 준비,95~100%,보통,아니요,거의 도움 안 됨,1시간 미만,4시간 이하,약간 있음
2024. 11. 30 오후 10:58:23,11학년,여자,B (80~89점),1~2시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,매우 불만족,네,매우 도움됨,1시간 미만,4~6시간,많이 있음
2024. 11. 30 오후 10:59:03,9학년,남자,A (90점 이상),3시간 이상,매일,항상 제출,시험 2주 전부터 준비,95~100%,불만족,아니요,거의 도움 안 됨,1시간 미만,4시간 이하,매우 많음
2024. 11. 30 오후 10:59:49,9학년,남자,B (80~89점),1~2시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,약간 도움됨,1시간 미만,6~8시간,보통
2024. 11. 30 오후 11:00:15,8학년,남자,C (70~79점),2~3시간,매일,가끔 제출,시험 2주 전부터 준비,95~100%,매우 불만족,네,거의 도움 안 됨,1~3시간,8시간 이상,약간 있음
2024. 11. 30 오후 11:00:19,9학년,여자,A (90점 이상),2~3시간,주 3~4회,가끔 제출,시험 2주 전부터 준비,95~100%,보통,네,약간 도움됨,1~3시간,4~6시간,약간 있음
2024. 11. 30 오후 11:00:42,9학년,여자,B (80~89점),1~2시간,주 1~2회,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,약간 도움됨,3~5시간,6~8시간,보통
2024. 11. 30 오후 11:00:57,11학년,여자,B (80~89점),1시간 미만,거의 안함,항상 제출,시험 2주 전부터 준비,95~100%,만족,네,보통,3~5시간,4~6시간,보통
2024. 11. 30 오후 11:03:51,7학년,남자,B (80~89점),1~2시간,주 1~2회,항상 제출,시험 1주 전부터 준비,95~100%,보통,네,약간 도움됨,1~3시간,6~8시간,약간 있음
2024. 11. 30 오후 11:04:35,10학년,남자,B (80~89점),1~2시간,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,만족,네,보통,1시간 미만,4~6시간,많이 있음
2024. 11. 30 오후 11:05:29,8학년,여자,A (90점 이상),1~2시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,만족,네,약간 도움됨,1~3시간,6~8시간,보통
2024. 11. 30 오후 11:05:31,10학년,여자,B (80~89점),1시간 미만,거의 안함,항상 제출,거의 준비하지 않음,95~100%,보통,네,약간 도움됨,3~5시간,4~6시간,많이 있음
2024. 11. 30 오후 11:06:00,10학년,남자,F (60점 미만),1시간 미만,거의 안함,가끔 제출,시험 1주 전부터 준비,95~100%,만족,아니요,약간 도움됨,5시간 이상,6~8시간,보통
2024. 11. 30 오후 11:06:37,10학년,여자,A (90점 이상),3시간 이상,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,3~5시간,6~8시간,전혀 없음
2024. 11. 30 오후 11:06:46,11학년,남자,B (80~89점),1시간 미만,주 1~2회,항상 제출,시험 전날 준비,95~100%,매우 만족,아니요,거의 도움 안 됨,1~3시간,6~8시간,보통
2024. 11. 30 오후 11:07:08,9학년,여자,B (80~89점),2~3시간,주 1~2회,항상 제출,시험 1주 전부터 준비,95~100%,보통,네,매우 도움됨,3~5시간,6~8시간,약간 있음
2024. 11. 30 오후 11:07:25,9학년,여자,A (90점 이상),1~2시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,보통,아니요,거의 도움 안 됨,1~3시간,6~8시간,약간 있음
2024. 11. 30 오후 11:10:21,9학년,여자,D (60~69점),1시간 미만,주 3~4회,항상 제출,거의 준비하지 않음,95~100%,보통,네,보통,1시간 미만,8시간 이상,전혀 없음
2024. 11. 30 오후 11:12:22,12학년,여자,B (80~89점),3시간 이상,매일,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,매우 도움됨,1시간 미만,4~6시간,많이 있음
2024. 11. 30 오후 11:13:02,9학년,여자,A (90점 이상),2~3시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,만족,네,약간 도움됨,1시간 미만,4~6시간,보통
2024. 11. 30 오후 11:13:16,9학년,여자,A (90점 이상),2~3시간,주 1~2회,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,약간 도움됨,1시간 미만,4~6시간,많이 있음
2024. 11. 30 오후 11:15:36,11학년,남자,A (90점 이상),3시간 이상,매일,항상 제출,시험 2주 전부터 준비,95~100%,만족,네,보통,1시간 미만,4~6시간,매우 많음
2024. 11. 30 오후 11:16:01,8학년,여자,F (60점 미만),3시간 이상,매일,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,1시간 미만,4시간 이하,매우 많음
2024. 11. 30 오후 11:17:01,12학년,여자,A (90점 이상),3시간 이상,매일,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,1시간 미만,6~8시간,약간 있음
2024. 11. 30 오후 11:17:13,10학년,남자,B (80~89점),2~3시간,매일,항상 제출,시험 2주 전부터 준비,95~100%,만족,네,약간 도움됨,1시간 미만,4~6시간,많이 있음
2024. 11. 30 오후 11:17:51,7학년,남자,C (70~79점),1~2시간,거의 안함,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,약간 도움됨,3~5시간,6~8시간,보통
2024. 11. 30 오후 11:18:45,8학년,여자,D (60~69점),1~2시간,거의 안함,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,약간 도움됨,5시간 이상,6~8시간,약간 있음
2024. 11. 30 오후 11:19:25,10학년,남자,B (80~89점),1~2시간,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,만족,네,보통,1~3시간,4~6시간,보통
2024. 11. 30 오후 11:19:35,10학년,남자,F (60점 미만),1시간 미만,거의 안함,가끔 제출,시험 1주 전부터 준비,95~100%,보통,네,거의 도움 안 됨,5시간 이상,6~8시간,매우 많음
2024. 11. 30 오후 11:20:13,11학년,남자,A (90점 이상),1~2시간,매일,항상 제출,거의 준비하지 않음,95~100%,매우 만족,네,약간 도움됨,3~5시간,4~6시간,약간 있음
2024. 11. 30 오후 11:20:45,9학년,남자,B (80~89점),2~3시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,약간 도움됨,1~3시간,6~8시간,보통
2024. 11. 30 오후 11:20:56,10학년,남자,A (90점 이상),1~2시간,거의 안함,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,매우 도움됨,3~5시간,6~8시간,약간 있음
2024. 11. 30 오후 11:22:00,11학년,남자,B (80~89점),1~2시간,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,매우 만족,네,보통,3~5시간,4~6시간,보통
2024. 11. 30 오후 11:22:26,8학년,여자,A (90점 이상),2~3시간,거의 안함,항상 제출,시험 2주 전부터 준비,95~100%,만족,아니요,거의 도움 안 됨,1~3시간,6~8시간,전혀 없음
2024. 11. 30 오후 11:22:42,8학년,남자,B (80~89점),1시간 미만,주 3~4회,항상 제출,시험 전날 준비,95~100%,매우 만족,네,약간 도움됨,1~3시간,6~8시간,많이 있음
2024. 11. 30 오후 11:23:02,10학년,여자,B (80~89점),1~2시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,약간 도움됨,1시간 미만,4~6시간,매우 많음
2024. 11. 30 오후 11:23:11,7학년,여자,B (80~89점),1시간 미만,주 1~2회,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,보통,1~3시간,6~8시간,약간 있음
2024. 11. 30 오후 11:23:17,7학년,남자,B (80~89점),1~2시간,거의 안함,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,매우 도움됨,1~3시간,6~8시간,약간 있음
2024. 11. 30 오후 11:23:36,11학년,여자,A (90점 이상),2~3시간,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,보통,네,약간 도움됨,1~3시간,4~6시간,약간 있음
2024. 11. 30 오후 11:24:07,7학년,여자,B (80~89점),2~3시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,만족,네,보통,1~3시간,6~8시간,약간 있음
2024. 11. 30 오후 11:24:19,12학년,남자,A (90점 이상),3시간 이상,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,3~5시간,6~8시간,많이 있음
2024. 11. 30 오후 11:24:56,11학년,여자,A (90점 이상),2~3시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,매우 도움됨,1~3시간,6~8시간,매우 많음
2024. 11. 30 오후 11:25:04,9학년,남자,B (80~89점),1~2시간,주 3~4회,항상 제출,시험 전날 준비,95~100%,보통,네,약간 도움됨,3~5시간,4~6시간,약간 있음
2024. 11. 30 오후 11:25:23,10학년,남자,D (60~69점),1~2시간,주 1~2회,항상 제출,시험 1주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,5시간 이상,6~8시간,많이 있음
2024. 11. 30 오후 11:25:33,8학년,남자,A (90점 이상),2~3시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,만족,네,약간 도움됨,1~3시간,6~8시간,많이 있음
2024. 11. 30 오후 11:25:55,9학년,남자,F (60점 미만),1시간 미만,거의 안함,거의 안 냄,거의 준비하지 않음,95~100%,매우 불만족,아니요,거의 도움 안 됨,5시간 이상,8시간 이상,전혀 없음
2024. 11. 30 오후 11:26:08,11학년,남자,B (80~89점),2~3시간,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,매우 만족,네,보통,1시간 미만,4~6시간,많이 있음
2024. 11. 30 오후 11:26:30,9학년,여자,A (90점 이상),1~2시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,3~5시간,6~8시간,매우 많음
2024. 11. 30 오후 11:26:42,11학년,여자,B (80~89점),1~2시간,주 1~2회,항상 제출,시험 1주 전부터 준비,95~100%,보통,네,보통,1~3시간,6~8시간,보통
2024. 11. 30 오후 11:26:59,10학년,남자,A (90점 이상),2~3시간,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,보통,네,약간 도움됨,1시간 미만,4~6시간,매우 많음
2024. 11. 30 오후 11:27:25,8학년,여자,F (60점 미만),1시간 미만,거의 안함,가끔 제출,시험 전날 준비,95~100%,보통,네,보통,5시간 이상,6~8시간,보통
2024. 11. 30 오후 11:27:37,11학년,남자,B (80~89점),2~3시간,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,보통,네,보통,1~3시간,4~6시간,많이 있음
2024. 11. 30 오후 11:27:58,10학년,남자,B (80~89점),2~3시간,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,불만족,네,보통,1~3시간,6~8시간,약간 있음
2024. 11. 30 오후 11:28:04,10학년,남자,F (60점 미만),1시간 미만,주 1~2회,가끔 제출,시험 전날 준비,95~100%,불만족,아니요,거의 도움 안 됨,5시간 이상,6~8시간,매우 많음
2024. 11. 30 오후 11:28:22,8학년,남자,A (90점 이상),2~3시간,주 3~4회,항상 제출,시험 전날 준비,95~100%,만족,네,약간 도움됨,3~5시간,6~8시간,보통
2024. 11. 30 오후 11:28:49,7학년,여자,C (70~79점),1시간 미만,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,매우 불만족,네,보통,1~3시간,6~8시간,약간 있음
